ID,Region,Year,Gini Index
488,Planalto - BA,1991,0.4358
489,Poções - BA,1991,0.5192
490,Pojuca - BA,1991,0.5848
491,Ponto Novo - BA,1991,0.4574
492,Porto Seguro - BA,1991,0.6469
493,Potiraguá - BA,1991,0.5746
494,Prado - BA,1991,0.5832
495,Presidente Dutra - BA,1991,0.4643
496,Presidente Jânio Quadros - BA,1991,0.39
497,Presidente Tancredo Neves - BA,1991,0.3255
498,Queimadas - BA,1991,0.4848
499,Quijingue - BA,1991,0.4199
500,Quixabeira - BA,1991,0.451
501,Rafael Jambeiro - BA,1991,0.4399
502,Remanso - BA,1991,0.5
503,Retirolândia - BA,1991,0.4817
504,Riachão das Neves - BA,1991,0.4991
505,Riachão do Jacuípe - BA,1991,0.5346
506,Riacho de Santana - BA,1991,0.4734
507,Ribeira do Amparo - BA,1991,0.3396
508,Ribeira do Pombal - BA,1991,0.5236
509,Ribeirão do Largo - BA,1991,0.3564
510,Rio de Contas - BA,1991,0.4962
511,Rio do Antônio - BA,1991,0.5867
512,Rio do Pires - BA,1991,0.4603
513,Rio Real - BA,1991,0.6154
514,Rodelas - BA,1991,0.3238
515,Ruy Barbosa - BA,1991,0.59
516,Salinas da Margarida - BA,1991,0.4887
517,Salvador - BA,1991,0.6516
518,Santa Bárbara - BA,1991,0.5049
519,Santa Brígida - BA,1991,0.4213
520,Santa Cruz Cabrália - BA,1991,0.6135
521,Santa Cruz da Vitória - BA,1991,0.4957
522,Santa Inês - BA,1991,0.5667
523,Santa Luzia - BA,1991,0.4528
524,Santa Maria da Vitória - BA,1991,0.5594
525,Santa Rita de Cássia - BA,1991,0.4916
526,Santa Teresinha - BA,1991,0.4602
527,Santaluz - BA,1991,0.5709
528,Santana - BA,1991,0.5458
529,Santanópolis - BA,1991,0.4403
530,Santo Amaro - BA,1991,0.5802
531,Santo Antônio de Jesus - BA,1991,0.613
532,Santo Estêvão - BA,1991,0.5341
533,São Desidério - BA,1991,0.575
534,São Domingos - BA,1991,0.4651
535,São Felipe - BA,1991,0.4534
536,São Félix - BA,1991,0.5192
537,São Félix do Coribe - BA,1991,0.4773
538,São Francisco do Conde - BA,1991,0.5612
539,São Gabriel - BA,1991,0.4614
540,São Gonçalo dos Campos - BA,1991,0.6164
541,São José da Vitória - BA,1991,0.4321
542,São José do Jacuípe - BA,1991,0.4515
543,São Miguel das Matas - BA,1991,0.5194
544,São Sebastião do Passé - BA,1991,0.5906
545,Sapeaçu - BA,1991,0.5377
546,Sátiro Dias - BA,1991,0.3957
547,Saubara - BA,1991,0.5476
548,Saúde - BA,1991,0.4722
549,Seabra - BA,1991,0.5697
550,Sebastião Laranjeiras - BA,1991,0.5762
551,Senhor do Bonfim - BA,1991,0.6092
552,Sento Sé - BA,1991,0.429
553,Serra do Ramalho - BA,1991,0.47
554,Serra Dourada - BA,1991,0.4258
555,Serra Preta - BA,1991,0.4099
556,Serrinha - BA,1991,0.5564
557,Serrolândia - BA,1991,0.4858
558,Simões Filho - BA,1991,0.5243
559,Sítio do Mato - BA,1991,0.4373
560,Sítio do Quinto - BA,1991,0.4408
561,Sobradinho - BA,1991,0.5967
562,Souto Soares - BA,1991,0.4632
563,Tabocas do Brejo Velho - BA,1991,0.371
564,Tanhaçu - BA,1991,0.5105
565,Tanque Novo - BA,1991,0.7114
566,Tanquinho - BA,1991,0.5426
567,Taperoá - BA,1991,0.5338
568,Tapiramutá - BA,1991,0.4516
569,Teixeira de Freitas - BA,1991,0.6188
570,Teodoro Sampaio - BA,1991,0.5469
571,Teofilândia - BA,1991,0.6173
572,Teolândia - BA,1991,0.5822
573,Terra Nova - BA,1991,0.5221
574,Tremedal - BA,1991,0.4398
575,Tucano - BA,1991,0.4853
576,Uauá - BA,1991,0.532
577,Ubaíra - BA,1991,0.5562
578,Ubaitaba - BA,1991,0.6555
579,Ubatã - BA,1991,0.6607
580,Uibaí - BA,1991,0.4573
581,Umburanas - BA,1991,0.3569
582,Una - BA,1991,0.539
583,Urandi - BA,1991,0.8305
584,Uruçuca - BA,1991,0.5088
585,Utinga - BA,1991,0.4506
586,Valença - BA,1991,0.577
587,Valente - BA,1991,0.512
588,Várzea da Roça - BA,1991,0.4527
589,Várzea do Poço - BA,1991,0.4293
590,Várzea Nova - BA,1991,0.3914
591,Varzedo - BA,1991,0.5277
592,Vera Cruz - BA,1991,0.5995
593,Vereda - BA,1991,0.5924
594,Vitória da Conquista - BA,1991,0.6332
595,Wagner - BA,1991,0.5502
596,Wanderley - BA,1991,0.533
597,Wenceslau Guimarães - BA,1991,0.4559
598,Xique-Xique - BA,1991,0.5808
599,Brasil,1991,0.6366
600,Mato Grosso do Sul,1991,0.6136
601,Água Clara - MS,1991,0.4544
602,Amambaí - MS,1991,0.5729
603,Anastácio - MS,1991,0.4871
604,Anaurilândia - MS,1991,0.5638
605,Angélica - MS,1991,0.5561
606,Antônio João - MS,1991,0.6586
607,Aparecida do Taboado - MS,1991,0.5571
608,Aquidauana - MS,1991,0.6157
609,Aral Moreira - MS,1991,0.4831
610,Bandeirantes - MS,1991,0.5502
611,Bataguassu - MS,1991,0.5478
612,Bataiporã - MS,1991,0.5827
613,Bela Vista - MS,1991,0.645
614,Bodoquena - MS,1991,0.5598
615,Bonito - MS,1991,0.5974
616,Brasilândia - MS,1991,0.522
617,Caarapó - MS,1991,0.6044
618,Camapuã - MS,1991,0.5444
619,Campo Grande - MS,1991,0.602
620,Caracol - MS,1991,0.5161
621,Cassilândia - MS,1991,0.6258
622,Chapadão do Sul - MS,1991,0.5925
623,Corguinho - MS,1991,0.6111
624,Coronel Sapucaia - MS,1991,0.4824
625,Corumbá - MS,1991,0.623
626,Costa Rica - MS,1991,0.5382
627,Coxim - MS,1991,0.5955
628,Deodápolis - MS,1991,0.6276
629,Dois Irmãos do Buriti - MS,1991,0.5204
630,Douradina - MS,1991,0.6424
631,Dourados - MS,1991,0.6104
632,Eldorado - MS,1991,0.5702
633,Fátima do Sul - MS,1991,0.6368
634,Glória de Dourados - MS,1991,0.5532
635,Guia Lopes da Laguna - MS,1991,0.5532
636,Iguatemi - MS,1991,0.6109
637,Inocência - MS,1991,0.6101
638,Itaporã - MS,1991,0.5929
639,Itaquiraí - MS,1991,0.5171
640,Ivinhema - MS,1991,0.5408
641,Jaraguari - MS,1991,0.5147
642,Jardim - MS,1991,0.6267
643,Jateí - MS,1991,0.445
644,Juti - MS,1991,0.4741
645,Ladário - MS,1991,0.5567
646,Maracaju - MS,1991,0.718
647,Miranda - MS,1991,0.5779
648,Mundo Novo - MS,1991,0.6058
649,Naviraí - MS,1991,0.5511
650,Nioaque - MS,1991,0.6142
651,Nova Andradina - MS,1991,0.5459
652,Paranaíba - MS,1991,0.6086
653,Paranhos - MS,1991,0.5636
654,Pedro Gomes - MS,1991,0.5941
655,Ponta Porã - MS,1991,0.5843
656,Porto Murtinho - MS,1991,0.5491
657,Ribas do Rio Pardo - MS,1991,0.5021
658,Rio Brilhante - MS,1991,0.5775
659,Rio Negro - MS,1991,0.5562
660,Rio Verde de Mato Grosso - MS,1991,0.5856
661,Rochedo - MS,1991,0.5472
662,Santa Rita do Pardo - MS,1991,0.5212
663,São Gabriel do Oeste - MS,1991,0.6182
664,Selvíria - MS,1991,0.5708
665,Sete Quedas - MS,1991,0.6393
666,Sidrolândia - MS,1991,0.6201
667,Sonora - MS,1991,0.4756
668,Tacuru - MS,1991,0.4983
669,Taquarussu - MS,1991,0.5383
670,Terenos - MS,1991,0.5806
671,Três Lagoas - MS,1991,0.5897
672,Vicentina - MS,1991,0.5396
673,Brasil,1991,0.6366
674,São Paulo,1991,0.5797
675,Adamantina - SP,1991,0.5764
676,Adolfo - SP,1991,0.4665
677,Aguaí - SP,1991,0.5186
678,Águas da Prata - SP,1991,0.5447
679,Águas de Lindóia - SP,1991,0.5981
680,Águas de Santa Bárbara - SP,1991,0.5401
681,Águas de São Pedro - SP,1991,0.5312
682,Agudos - SP,1991,0.5091
683,Alfredo Marcondes - SP,1991,0.5533
684,Altair - SP,1991,0.4501
685,Altinópolis - SP,1991,0.5785
686,Alto Alegre - SP,1991,0.5344
687,Álvares Florence - SP,1991,0.5032
688,Álvares Machado - SP,1991,0.5187
689,Álvaro de Carvalho - SP,1991,0.4975
690,Alvinlândia - SP,1991,0.5333
691,Americana - SP,1991,0.5257
692,Américo Brasiliense - SP,1991,0.4255
693,Américo de Campos - SP,1991,0.5639
694,Amparo - SP,1991,0.5463
695,Analândia - SP,1991,0.5221
696,Andradina - SP,1991,0.5926
697,Angatuba - SP,1991,0.5398
